GEO_TTL,State,ESTAB,EMP,EMPSZES_TTL,PAYANN,YEAR
California,06,105628,1430656,Establishments with 10 to 19 employees,54888246,2010
California,06,71071,2126445,Establishments with 20 to 49 employees,88768852,2010
California,06,23960,1641248,Establishments with 50 to 99 employees,73930219,2010
California,06,12853,1913818,Establishments with 100 to 249 employees,96350738,2010
California,06,2966,1001516,Establishments with 250 to 499 employees,60405168,2010
California,06,1110,746082,Establishments with 500 to 999 employees,51779760,2010
California,06,746,1869601,"Establishments with 1,000 employees or more",130045461,2010
Colorado,08,151973,1955336,All establishments,89244945,2010
Colorado,08,91601,143202,Establishments with 1 to 4 employees,6023961,2010
Colorado,08,25717,169918,Establishments with 5 to 9 employees,6155983,2010
Colorado,08,17408,234707,Establishments with 10 to 19 employees,8534326,2010
Colorado,08,10983,330405,Establishments with 20 to 49 employees,12764889,2010
Colorado,08,3512,241031,Establishments with 50 to 99 employees,10637394,2010
Colorado,08,1978,290299,Establishments with 100 to 249 employees,13507240,2010
Colorado,08,496,171025,Establishments with 250 to 499 employees,9716326,2010
Colorado,08,162,109483,Establishments with 500 to 999 employees,6480327,2010
Colorado,08,116,265266,"Establishments with 1,000 employees or more",15424499,2010
Connecticut,09,89234,1436992,All establishments,79918588,2010
Connecticut,09,47372,83745,Establishments with 1 to 4 employees,4122545,2010
Connecticut,09,17338,115756,Establishments with 5 to 9 employees,4929365,2010
Connecticut,09,11932,160372,Establishments with 10 to 19 employees,7141283,2010
Connecticut,09,7835,236619,Establishments with 20 to 49 employees,11406294,2010
Connecticut,09,2591,176852,Establishments with 50 to 99 employees,9581751,2010
Connecticut,09,1638,248959,Establishments with 100 to 249 employees,12867097,2010
Connecticut,09,332,114179,Establishments with 250 to 499 employees,7911013,2010
Connecticut,09,110,72338,Establishments with 500 to 999 employees,5436553,2010
Connecticut,09,86,228172,"Establishments with 1,000 employees or more",16522687,2010
Delaware,10,24290,359007,All establishments,17166760,2010
Delaware,10,13752,22701,Establishments with 1 to 4 employees,1083541,2010
Delaware,10,4268,28369,Establishments with 5 to 9 employees,1046066,2010
Delaware,10,3113,42123,Establishments with 10 to 19 employees,1565409,2010
Delaware,10,1964,59381,Establishments with 20 to 49 employees,2410577,2010
Delaware,10,665,44998,Establishments with 50 to 99 employees,1835286,2010
Delaware,10,380,57853,Establishments with 100 to 249 employees,2509364,2010
Delaware,10,84,29868,Establishments with 250 to 499 employees,1531443,2010
Delaware,10,41,28359,Establishments with 500 to 999 employees,1620756,2010
Delaware,10,23,45355,"Establishments with 1,000 employees or more",3564318,2010
District of Columbia,11,21502,463076,All establishments,30987176,2010
District of Columbia,11,10756,19722,Establishments with 1 to 4 employees,1613293,2010
District of Columbia,11,3992,26450,Establishments with 5 to 9 employees,1727571,2010
District of Columbia,11,2935,39495,Establishments with 10 to 19 employees,2447540,2010
District of Columbia,11,2206,67217,Establishments with 20 to 49 employees,4163103,2010
District of Columbia,11,832,57150,Establishments with 50 to 99 employees,3578294,2010
District of Columbia,11,538,81006,Establishments with 100 to 249 employees,5901545,2010
District of Columbia,11,161,54188,Establishments with 250 to 499 employees,3955738,2010
District of Columbia,11,56,39063,Establishments with 500 to 999 employees,2966014,2010
District of Columbia,11,26,78785,"Establishments with 1,000 employees or more",4634078,2010
Florida,12,491150,6626558,All establishments,252973227,2010
Florida,12,306692,488431,Establishments with 1 to 4 employees,19221451,2010
Florida,12,79300,522241,Establishments with 5 to 9 employees,17903271,2010
Florida,12,52516,703278,Establishments with 10 to 19 employees,23767359,2010
Florida,12,32306,966576,Establishments with 20 to 49 employees,34084052,2010
Florida,12,11187,773190,Establishments with 50 to 99 employees,27429971,2010
Florida,12,6731,992196,Establishments with 100 to 249 employees,36965762,2010
Florida,12,1477,519238,Establishments with 250 to 499 employees,22360888,2010
Florida,12,539,372466,Establishments with 500 to 999 employees,16517080,2010
Florida,12,402,1288942,"Establishments with 1,000 employees or more",54723393,2010
Georgia,13,217099,3315274,All establishments,137538790,2010
Georgia,13,121316,203717,Establishments with 1 to 4 employees,8029773,2010
Georgia,13,38973,258088,Establishments with 5 to 9 employees,8681896,2010
Georgia,13,27525,372741,Establishments with 10 to 19 employees,12631811,2010
Georgia,13,18098,544687,Establishments with 20 to 49 employees,19573091,2010
Georgia,13,6202,425273,Establishments with 50 to 99 employees,16351103,2010
Georgia,13,3544,521710,Establishments with 100 to 249 employees,22042054,2010
Georgia,13,919,316509,Establishments with 250 to 499 employees,15003550,2010
Georgia,13,331,223331,Establishments with 500 to 999 employees,11692603,2010
Georgia,13,191,449218,"Establishments with 1,000 employees or more",23532909,2010
Hawaii,15,31939,478838,All establishments,17541821,2010
Hawaii,15,16709,30512,Establishments with 1 to 4 employees,1187748,2010
Hawaii,15,6357,42083,Establishments with 5 to 9 employees,1403955,2010
Hawaii,15,4445,59713,Establishments with 10 to 19 employees,1916198,2010
Hawaii,15,2729,82288,Establishments with 20 to 49 employees,2861935,2010
Hawaii,15,1012,69038,Establishments with 50 to 99 employees,2376851,2010
Hawaii,15,481,70896,Establishments with 100 to 249 employees,2605330,2010
Hawaii,15,134,46479,Establishments with 250 to 499 employees,1812425,2010
Hawaii,15,49,33689,Establishments with 500 to 999 employees,1396099,2010
Hawaii,15,23,44140,"Establishments with 1,000 employees or more",1981280,2010
Idaho,16,43450,487875,All establishments,16235999,2010
Idaho,16,25546,42537,Establishments with 1 to 4 employees,1382498,2010
Idaho,16,7974,52759,Establishments with 5 to 9 employees,1487476,2010
Idaho,16,5474,73349,Establishments with 10 to 19 employees,2048697,2010
Idaho,16,2997,88571,Establishments with 20 to 49 employees,2651923,2010
Idaho,16,855,57871,Establishments with 50 to 99 employees,1840087,2010
Idaho,16,435,63738,Establishments with 100 to 249 employees,2166473,2010
Idaho,16,105,35464,Establishments with 250 to 499 employees,1335841,2010
Idaho,16,46,30722,Establishments with 500 to 999 employees,1185839,2010
Idaho,16,18,42864,"Establishments with 1,000 employees or more",2137165,2010
Illinois,17,314171,4980011,All establishments,235718368,2010
Illinois,17,175852,289440,Establishments with 1 to 4 employees,13031725,2010
Illinois,17,56063,371771,Establishments with 5 to 9 employees,13752561,2010
Illinois,17,39549,532252,Establishments with 10 to 19 employees,20174540,2010
Illinois,17,25917,785048,Establishments with 20 to 49 employees,32660578,2010
Illinois,17,9101,625008,Establishments with 50 to 99 employees,27441534,2010
Illinois,17,5554,835501,Establishments with 100 to 249 employees,39452859,2010
Illinois,17,1289,438338,Establishments with 250 to 499 employees,24489213,2010
Illinois,17,524,362671,Establishments with 500 to 999 employees,21269422,2010
Illinois,17,322,739982,"Establishments with 1,000 employees or more",43445936,2010
Indiana,18,145019,2400382,All establishments,90398935,2010
Indiana,18,73209,131099,Establishments with 1 to 4 employees,4678346,2010
Indiana,18,29801,197066,Establishments with 5 to 9 employees,5908189,2010
Indiana,18,20576,276932,Establishments with 10 to 19 employees,8349049,2010
Indiana,18,13078,393463,Establishments with 20 to 49 employees,12940605,2010
Indiana,18,4619,316263,Establishments with 50 to 99 employees,10903057,2010
Indiana,18,2662,392567,Establishments with 100 to 249 employees,14597145,2010
Indiana,18,686,235133,Establishments with 250 to 499 employees,9820843,2010
Indiana,18,245,168066,Establishments with 500 to 999 employees,7643807,2010
Indiana,18,143,289793,"Establishments with 1,000 employees or more",15557894,2010
Iowa,19,80801,1253095,All establishments,44904616,2010
Iowa,19,42664,75918,Establishments with 1 to 4 employees,2551646,2010
Iowa,19,15724,103996,Establishments with 5 to 9 employees,3011735,2010
Iowa,19,11506,154622,Establishments with 10 to 19 employees,4578293,2010
Iowa,19,6747,202482,Establishments with 20 to 49 employees,6611016,2010
Iowa,19,2378,163039,Establishments with 50 to 99 employees,5401021,2010
Iowa,19,1214,183474,Establishments with 100 to 249 employees,6507360,2010
Iowa,19,372,128003,Establishments with 250 to 499 employees,4986537,2010
Iowa,19,119,79903,Establishments with 500 to 999 employees,3418695,2010
Iowa,19,77,161658,"Establishments with 1,000 employees or more",7838313,2010
Kansas,20,74301,1127160,All establishments,42686303,2010
Kansas,20,39646,70989,Establishments with 1 to 4 employees,2473368,2010
Kansas,20,14365,95302,Establishments with 5 to 9 employees,2890767,2010
Kansas,20,10004,134696,Establishments with 10 to 19 employees,4231172,2010
Kansas,20,6440,193377,Establishments with 20 to 49 employees,6562339,2010
Kansas,20,2172,149071,Establishments with 50 to 99 employees,5480607,2010
Kansas,20,1201,181022,Establishments with 100 to 249 employees,6927368,2010
Kansas,20,312,108105,Establishments with 250 to 499 employees,4415966,2010
Kansas,20,111,75828,Establishments with 500 to 999 employees,3799318,2010
Kansas,20,50,118770,"Establishments with 1,000 employees or more",5905398,2010
Kentucky,21,90771,1456790,All establishments,52246863,2010
Kentucky,21,46048,84228,Establishments with 1 to 4 employees,2878794,2010
Kentucky,21,18354,121486,Establishments with 5 to 9 employees,3604139,2010
Kentucky,21,13171,177702,Establishments with 10 to 19 employees,5291794,2010
Kentucky,21,8216,244748,Establishments with 20 to 49 employees,7888841,2010
Kentucky,21,2679,182672,Establishments with 50 to 99 employees,6171702,2010
Kentucky,21,1654,245295,Establishments with 100 to 249 employees,9025998,2010
Kentucky,21,430,151053,Establishments with 250 to 499 employees,6111868,2010
Kentucky,21,148,101847,Establishments with 500 to 999 employees,4200580,2010
Kentucky,21,71,147759,"Establishments with 1,000 employees or more",7073147,2010
Louisiana,22,103365,1599551,All establishments,62265835,2010
Louisiana,22,51794,95720,Establishments with 1 to 4 employees,3664224,2010
Louisiana,22,21572,143283,Establishments with 5 to 9 employees,4516657,2010
Louisiana,22,14715,198561,Establishments with 10 to 19 employees,6676587,2010
Louisiana,22,9718,293954,Establishments with 20 to 49 employees,10186298,2010
Louisiana,22,3262,223123,Establishments with 50 to 99 employees,8227760,2010
Louisiana,22,1716,252640,Establishments with 100 to 249 employees,10157856,2010
Louisiana,22,353,124648,Establishments with 250 to 499 employees,5307179,2010
Louisiana,22,154,104801,Establishments with 500 to 999 employees,5832151,2010
Louisiana,22,81,162821,"Establishments with 1,000 employees or more",7697123,2010
Maine,23,40571,480932,All establishments,17278644,2010
Maine,23,23492,38236,Establishments with 1 to 4 employees,1373555,2010
Maine,23,7640,50666,Establishments with 5 to 9 employees,1544877,2010
Maine,23,4979,66368,Establishments with 10 to 19 employees,2010332,2010
Maine,23,2914,86578,Establishments with 20 to 49 employees,2807893,2010
Maine,23,869,59376,Establishments with 50 to 99 employees,1988100,2010
Maine,23,492,71035,Establishments with 100 to 249 employees,2617732,2010
Maine,23,122,41406,Establishments with 250 to 499 employees,1608558,2010
Maine,23,46,31529,Establishments with 500 to 999 employees,1543388,2010
Maine,23,17,35738,"Establishments with 1,000 employees or more",1784209,2010
Maryland,24,134579,2075507,All establishments,97807214,2010
Maryland,24,72250,124796,Establishments with 1 to 4 employees,5704323,2010
Maryland,24,25139,165931,Establishments with 5 to 9 employees,6373065,2010
Maryland,24,17686,237721,Establishments with 10 to 19 employees,9287492,2010
Maryland,24,12054,362753,Establishments with 20 to 49 employees,15220833,2010
Maryland,24,4220,288388,Establishments with 50 to 99 employees,12627271,2010
Maryland,24,2431,364540,Establishments with 100 to 249 employees,17479989,2010
Maryland,24,500,167903,Establishments with 250 to 499 employees,9361553,2010
Maryland,24,184,122238,Establishments with 500 to 999 employees,7162881,2010
Maryland,24,115,241237,"Establishments with 1,000 employees or more",14589807,2010
Massachusetts,25,169790,2928545,All establishments,158404256,2010
Massachusetts,25,90911,156840,Establishments with 1 to 4 employees,7829987,2010
Massachusetts,25,32321,213990,Establishments with 5 to 9 employees,8797532,2010
Massachusetts,25,22441,301316,Establishments with 10 to 19 employees,12492029,2010
Massachusetts,25,14584,442062,Establishments with 20 to 49 employees,20340836,2010
Massachusetts,25,4978,338647,Establishments with 50 to 99 employees,17208083,2010
Massachusetts,25,3322,503212,Establishments with 100 to 249 employees,26634574,2010
Massachusetts,25,768,261701,Establishments with 250 to 499 employees,17873286,2010
Massachusetts,25,261,177529,Establishments with 500 to 999 employees,12539932,2010
Massachusetts,25,204,533248,"Establishments with 1,000 employees or more",34687997,2010
Michigan,26,219119,3288456,All establishments,138809653,2010
Michigan,26,117156,199765,Establishments with 1 to 4 employees,8036378,2010
Michigan,26,43256,286578,Establishments with 5 to 9 employees,9447079,2010
Michigan,26,29523,396822,Establishments with 10 to 19 employees,13434322,2010
Michigan,26,18171,545180,Establishments with 20 to 49 employees,20121772,2010
Michigan,26,6073,417053,Establishments with 50 to 99 employees,16138011,2010
Michigan,26,3559,526917,Establishments with 100 to 249 employees,22421487,2010
Michigan,26,907,303655,Establishments with 250 to 499 employees,14415037,2010
Michigan,26,285,195389,Establishments with 500 to 999 employees,10144986,2010
Michigan,26,189,417097,"Establishments with 1,000 employees or more",24650581,2010
Minnesota,27,145464,2357971,All establishments,105548294,2010
Minnesota,27,79741,127943,Establishments with 1 to 4 employees,5226596,2010
Minnesota,27,25485,170649,Establishments with 5 to 9 employees,5633507,2010
Minnesota,27,19816,267789,Establishments with 10 to 19 employees,8824844,2010
Minnesota,27,12379,373023,Establishments with 20 to 49 employees,13830710,2010
Minnesota,27,4357,298799,Establishments with 50 to 99 employees,12005064,2010
Minnesota,27,2637,399455,Establishments with 100 to 249 employees,16271249,2010
Minnesota,27,653,221783,Establishments with 250 to 499 employees,11594918,2010
Minnesota,27,251,172299,Establishments with 500 to 999 employees,10349414,2010
Minnesota,27,145,326231,"Establishments with 1,000 employees or more",21811992,2010
Mississippi,28,59300,882181,All establishments,28606573,2010
Mississippi,28,30668,58194,Establishments with 1 to 4 employees,1817473,2010
Mississippi,28,12590,83094,Establishments with 5 to 9 employees,2297039,2010
Mississippi,28,8177,109587,Establishments with 10 to 19 employees,3225216,2010
Mississippi,28,5052,150247,Establishments with 20 to 49 employees,4447812,2010
Mississippi,28,1621,110855,Establishments with 50 to 99 employees,3404338,2010
Mississippi,28,830,123847,Establishments with 100 to 249 employees,4184296,2010
Mississippi,28,230,81612,Establishments with 250 to 499 employees,2775291,2010
Mississippi,28,79,54734,Establishments with 500 to 999 employees,1793860,2010
Mississippi,28,53,110011,"Establishments with 1,000 employees or more",4661248,2010
Missouri,29,149903,2292551,All establishments,88576663,2010
Missouri,29,82249,141325,Establishments with 1 to 4 employees,4741868,2010
Missouri,29,27303,180908,Establishments with 5 to 9 employees,5659635,2010
Missouri,29,20028,269916,Establishments with 10 to 19 employees,8431407,2010
Missouri,29,12720,384439,Establishments with 20 to 49 employees,13099608,2010
Missouri,29,4249,291585,Establishments with 50 to 99 employees,10507464,2010
Missouri,29,2367,352500,Establishments with 100 to 249 employees,14360415,2010
Missouri,29,625,214897,Establishments with 250 to 499 employees,9094592,2010
Missouri,29,227,157329,Establishments with 500 to 999 employees,7596515,2010
Missouri,29,135,299652,"Establishments with 1,000 employees or more",15085159,2010
Montana,30,36011,338405,All establishments,10716100,2010
Montana,30,21898,35703,Establishments with 1 to 4 employees,1157410,2010
Montana,30,6464,42729,Establishments with 5 to 9 employees,1191285,2010
Montana,30,4317,57949,Establishments with 10 to 19 employees,1592790,2010
Montana,30,2287,67187,Establishments with 20 to 49 employees,1994595,2010
Montana,30,681,46555,Establishments with 50 to 99 employees,1381454,2010
Montana,30,284,41183,Establishments with 100 to 249 employees,1415533,2010
Montana,30,53,18314,Establishments with 250 to 499 employees,751921,2010
Montana,30,17,11264,Establishments with 500 to 999 employees,486570,2010
Montana,30,10,17521,"Establishments with 1,000 employees or more",744542,2010
Nebraska,31,51886,769436,All establishments,28033406,2010
Nebraska,31,28363,49282,Establishments with 1 to 4 employees,1682880,2010
Nebraska,31,9772,64500,Establishments with 5 to 9 employees,1900602,2010
Nebraska,31,6952,93332,Establishments with 10 to 19 employees,2776592,2010
Nebraska,31,4338,130538,Establishments with 20 to 49 employees,4340932,2010
Nebraska,31,1381,94013,Establishments with 50 to 99 employees,3155499,2010
Nebraska,31,751,113128,Establishments with 100 to 249 employees,4439299,2010
Nebraska,31,210,74660,Establishments with 250 to 499 employees,3024527,2010
Nebraska,31,74,48612,Establishments with 500 to 999 employees,2356663,2010
Nebraska,31,45,101371,"Establishments with 1,000 employees or more",4356412,2010
Nevada,32,59207,1002956,All establishments,37909682,2010
Nevada,32,32351,52299,Establishments with 1 to 4 employees,2544690,2010
Nevada,32,10846,72394,Establishments with 5 to 9 employees,2495971,2010
Nevada,32,7958,107164,Establishments with 10 to 19 employees,3592263,2010
Nevada,32,4957,147719,Establishments with 20 to 49 employees,5348101,2010
Nevada,32,1710,117961,Establishments with 50 to 99 employees,4392007,2010
Nevada,32,943,139566,Establishments with 100 to 249 employees,4946352,2010
Nevada,32,238,83471,Establishments with 250 to 499 employees,3299287,2010
Nevada,32,116,80219,Establishments with 500 to 999 employees,3028445,2010
Nevada,32,88,202163,"Establishments with 1,000 employees or more",8262566,2010
New Hampshire,33,37452,562505,All establishments,24223645,2010
New Hampshire,33,20059,35447,Establishments with 1 to 4 employees,1570924,2010
New Hampshire,33,7444,49307,Establishments with 5 to 9 employees,1802061,2010
New Hampshire,33,4982,67107,Establishments with 10 to 19 employees,2475709,2010
New Hampshire,33,3164,94983,Establishments with 20 to 49 employees,3743273,2010
New Hampshire,33,975,66697,Establishments with 50 to 99 employees,2640522,2010
New Hampshire,33,628,93184,Establishments with 100 to 249 employees,3534002,2010
New Hampshire,33,123,42165,Establishments with 250 to 499 employees,1864278,2010
New Hampshire,33,58,37759,Establishments with 500 to 999 employees,2118495,2010
New Hampshire,33,19,75856,"Establishments with 1,000 employees or more",4474381,2010
New Jersey,34,228937,3367169,All establishments,178657361,2010
New Jersey,34,133545,228245,Establishments with 1 to 4 employees,10084675,2010
New Jersey,34,39553,261473,Establishments with 5 to 9 employees,10468299,2010
New Jersey,34,26937,361634,Establishments with 10 to 19 employees,15098254,2010
New Jersey,34,17672,533530,Establishments with 20 to 49 employees,24226601,2010
New Jersey,34,6059,415536,Establishments with 50 to 99 employees,20539317,2010
New Jersey,34,3782,573787,Establishments with 100 to 249 employees,29213842,2010
New Jersey,34,864,291177,Establishments with 250 to 499 employees,17031692,2010
New Jersey,34,298,201263,Establishments with 500 to 999 employees,14642320,2010
New Jersey,34,227,500524,"Establishments with 1,000 employees or more",37352361,2010
New Mexico,35,44221,600165,All establishments,21318930,2010
New Mexico,35,23508,42153,Establishments with 1 to 4 employees,1446365,2010
New Mexico,35,8575,56738,Establishments with 5 to 9 employees,1720469,2010
New Mexico,35,6334,85727,Establishments with 10 to 19 employees,2568928,2010
New Mexico,35,3822,115324,Establishments with 20 to 49 employees,3797575,2010
New Mexico,35,1129,76847,Establishments with 50 to 99 employees,2504219,2010
New Mexico,35,644,96026,Establishments with 100 to 249 employees,3380491,2010
New Mexico,35,144,49416,Establishments with 250 to 499 employees,1888200,2010
New Mexico,35,48,31748,Establishments with 500 to 999 employees,1302993,2010
New Mexico,35,17,46186,"Establishments with 1,000 employees or more",2709690,2010
New York,36,519504,7266189,All establishments,418437922,2010
New York,36,317151,522527,Establishments with 1 to 4 employees,23591583,2010
New York,36,85591,564352,Establishments with 5 to 9 employees,22937183,2010
New York,36,57255,771829,Establishments with 10 to 19 employees,32459131,2010
New York,36,37129,1115444,Establishments with 20 to 49 employees,53561100,2010
New York,36,12118,829823,Establishments with 50 to 99 employees,44572692,2010
New York,36,6981,1052872,Establishments with 100 to 249 employees,60813438,2010
New York,36,1952,670784,Establishments with 250 to 499 employees,42357179,2010
New York,36,795,540964,Establishments with 500 to 999 employees,36945454,2010
New York,36,532,1197594,"Establishments with 1,000 employees or more",101200162,2010
North Carolina,37,218104,3234595,All establishments,125174128,2010
North Carolina,37,117265,202999,Establishments with 1 to 4 employees,7402821,2010
North Carolina,37,41981,278816,Establishments with 5 to 9 employees,8788277,2010
North Carolina,37,28552,385340,Establishments with 10 to 19 employees,12300086,2010
North Carolina,37,19436,589078,Establishments with 20 to 49 employees,18996921,2010
North Carolina,37,6253,428056,Establishments with 50 to 99 employees,14664868,2010
North Carolina,37,3324,491266,Establishments with 100 to 249 employees,19286297,2010
North Carolina,37,828,285953,Establishments with 250 to 499 employees,12862659,2010
North Carolina,37,296,207956,Establishments with 500 to 999 employees,10153465,2010
North Carolina,37,169,365131,"Establishments with 1,000 employees or more",20718734,2010
North Dakota,38,21832,294907,All establishments,10543129,2010
North Dakota,38,11714,19971,Establishments with 1 to 4 employees,702531,2010
North Dakota,38,4015,26747,Establishments with 5 to 9 employees,828221,2010
North Dakota,38,3154,42766,Establishments with 10 to 19 employees,1326713,2010
North Dakota,38,1898,56316,Establishments with 20 to 49 employees,1878759,2010
North Dakota,38,621,43216,Establishments with 50 to 99 employees,1496323,2010
North Dakota,38,318,47117,Establishments with 100 to 249 employees,1733816,2010
North Dakota,38,86,30788,Establishments with 250 to 499 employees,1267041,2010
North Dakota,38,20,14415,Establishments with 500 to 999 employees,678535,2010
North Dakota,38,6,13571,"Establishments with 1,000 employees or more",631190,2010
Ohio,39,253491,4352481,All establishments,174515811,2010
Ohio,39,125687,225588,Establishments with 1 to 4 employees,8341799,2010
Ohio,39,51900,344835,Establishments with 5 to 9 employees,11045662,2010
Ohio,39,36475,490410,Establishments with 10 to 19 employees,15998201,2010
Ohio,39,23991,723095,Establishments with 20 to 49 employees,25103105,2010
Ohio,39,8535,587301,Establishments with 50 to 99 employees,21695515,2010
Ohio,39,5093,758519,Establishments with 100 to 249 employees,29728417,2010
Ohio,39,1117,380927,Establishments with 250 to 499 employees,17088389,2010
Ohio,39,434,295899,Establishments with 500 to 999 employees,15094642,2010
Ohio,39,259,545907,"Establishments with 1,000 employees or more",30420081,2010
Oklahoma,40,90050,1241168,All establishments,46094301,2010
Oklahoma,40,48792,87405,Establishments with 1 to 4 employees,3081078,2010
Oklahoma,40,17518,115856,Establishments with 5 to 9 employees,3516673,2010
Oklahoma,40,11734,158042,Establishments with 10 to 19 employees,4903476,2010
Oklahoma,40,7852,235557,Establishments with 20 to 49 employees,7669354,2010
Oklahoma,40,2414,167039,Establishments with 50 to 99 employees,5667372,2010
Oklahoma,40,1236,183879,Establishments with 100 to 249 employees,7298422,2010
Oklahoma,40,339,118199,Establishments with 250 to 499 employees,4714605,2010
Oklahoma,40,116,79238,Establishments with 500 to 999 employees,3958210,2010
Oklahoma,40,49,95953,"Establishments with 1,000 employees or more",5285111,2010
Oregon,41,107397,1351164,All establishments,54367614,2010
Oregon,41,60260,103180,Establishments with 1 to 4 employees,3539190,2010
Oregon,41,20249,134971,Establishments with 5 to 9 employees,4135080,2010
Oregon,41,14218,191029,Establishments with 10 to 19 employees,5965214,2010
Oregon,41,8334,247587,Establishments with 20 to 49 employees,8800808,2010
Oregon,41,2561,172395,Establishments with 50 to 99 employees,6612029,2010
Oregon,41,1301,193610,Establishments with 100 to 249 employees,7725682,2010
Oregon,41,301,101747,Establishments with 250 to 499 employees,5155073,2010
Oregon,41,120,81471,Establishments with 500 to 999 employees,4373712,2010
Oregon,41,53,125174,"Establishments with 1,000 employees or more",8060826,2010
Pennsylvania,42,297023,4976193,All establishments,211638083,2010
Pennsylvania,42,153038,276627,Establishments with 1 to 4 employees,10601516,2010
Pennsylvania,42,59170,391565,Establishments with 5 to 9 employees,13080372,2010
Pennsylvania,42,41043,553259,Establishments with 10 to 19 employees,19556209,2010
Pennsylvania,42,26830,810208,Establishments with 20 to 49 employees,30621944,2010
Pennsylvania,42,9337,639520,Establishments with 50 to 99 employees,25131122,2010
Pennsylvania,42,5442,823906,Establishments with 100 to 249 employees,33516096,2010
Pennsylvania,42,1348,461672,Establishments with 250 to 499 employees,22443349,2010
Pennsylvania,42,526,360638,Establishments with 500 to 999 employees,19814031,2010
Pennsylvania,42,289,658798,"Establishments with 1,000 employees or more",36873444,2010
Rhode Island,44,28521,399000,All establishments,16831981,2010
Rhode Island,44,16094,26866,Establishments with 1 to 4 employees,1117172,2010
Rhode Island,44,5217,34536,Establishments with 5 to 9 employees,1216773,2010
Rhode Island,44,3580,48325,Establishments with 10 to 19 employees,1706918,2010
Rhode Island,44,2293,68689,Establishments with 20 to 49 employees,2506107,2010
Rhode Island,44,731,50302,Establishments with 50 to 99 employees,1933294,2010
Rhode Island,44,465,69391,Establishments with 100 to 249 employees,2577620,2010
Rhode Island,44,86,28541,Establishments with 250 to 499 employees,1535231,2010
Rhode Island,44,29,21458,Establishments with 500 to 999 employees,1185198,2010
Rhode Island,44,26,50892,"Establishments with 1,000 employees or more",3053668,2010
South Carolina,45,102045,1502853,All establishments,52547532,2010
South Carolina,45,54051,97478,Establishments with 1 to 4 employees,3252898,2010
South Carolina,45,20602,136181,Establishments with 5 to 9 employees,3996454,2010
South Carolina,45,13699,185097,Establishments with 10 to 19 employees,5466661,2010
South Carolina,45,8719,263653,Establishments with 20 to 49 employees,8176602,2010
South Carolina,45,2824,193345,Establishments with 50 to 99 employees,5956948,2010
